main_category,title,features,description,categories,details,parent_asin
Cell Phones & Accessories,"Dash Cam Mini USB Hardwire Kit Dash Camera Hard Wire Kit 12V-24V to 5V Charger Cable Power Cord Power Supply Compatible with Rexing V1-4K, V1P, V3, V2 Pro, V5, S1 Series, V1P Pro Series, Max Series","['Input: 12-24V | Output: DC5V 2A. 24 Hour Surveillance and Protects Against Battery Dying', 'It has a smart low voltage protection system that will automatically shut off the power to your dash cam when the battery voltage drops to 11.8V, thus preventing it draining the battery.', 'The package come with 4 DUAL-SLOT fuse holder, mini, low profile mini, Standard ATO and micro2. 4 types, suit for most cars on the market', ""With the switch button, you can easily set the hardwire kit to ACC mode, so it can turn on and off with the ignition and you don't have to worry about plugging in the charger, or turning the dashcam on, or any such stuff."", 'Easy Installation-Simple hidden wiring keeps the car neat and tidy and releases the cigarette lighter for connecting to more devices.']",[],"['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Video', 'On-Dash Cameras']","{'Package Dimensions': '6.42 x 3.31 x 1.73 inches', 'Item Weight': '3.84 ounces', 'Best Sellers Rank': {'Electronics': 620035, 'Car On-Dash Mounted Cameras': 3469}, 'Connectivity technologies': 'USB', 'Other display features': 'Wireless', 'Whats in the box': '4 Fuse Tap Cable and Installation Tool', 'Manufacturer': 'Rurararu', 'Country of Origin': 'China', 'Date First Available': 'April 11, 2022', 'Brand': 'Rurararu', 'Vehicle Service Type': 'Car', 'Mounting Type': 'Adhesive Mount', 'Auto Part Position': 'Rear', 'Are Batteries Included': 'No', 'Compatible Devices': 'Rexing V1-4K, V1P, V3, V2 Pro, V5, S1 Series, V1P Pro Series, Max Series Dash Cam', 'Real Angle of View': '140 Degrees'}",B09XMDJKR6
Camera & Photo,Solomark 2 Inch UHC Light Pollution Reduction Filter for Telescope,"['Sky background is darker', '2 Inch format - simply attach to eyepiece-cased in a sturdy transparent case', 'Boosts contrast in any environment', 'Great for city and suburban observation', 'Significantly reduces light pollution']","['Solomark 2 INCH UHC Light Pollution Reduction Filter for Telescope UHC Filter was designed to improve the image contrast of observed objects. Due to its ability to produce exceptionally sharp and clear images, this filter is considered one of the most popular astronomy accessories. It can be used not only for celestial observations but also for astrophotography.']","['Electronics', 'Camera & Photo', 'Accessories', 'Telescope & Microscope Accessories', 'Telescope Accessories', 'Filters']","{'Product Dimensions': '9.06 x 7.09 x 0.98 inches', 'Item Weight': '0.353 ounces', 'Item model number': 'SKU_QHFT001', 'Best Sellers Rank': {'Telescope Filters': 141}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'October 27, 2014', 'Manufacturer': 'SOLOMARK', 'Brand': 'SOLOMARK', 'Material': 'Plastic', 'Coating Description': 'No Coating', 'Photo Filter Effect Type': 'Ultraviolet', 'Water Resistance Level': 'Not Water Resistant'}",B0BZCGF172
Home Audio & Theater,"Xmerry HDMI to AV Converter, 1080p HDMI to RCA 3RCA CVBs Composite Video Audio Converter Adapter Supports PAL/NTSC for TV Stick, Roku, Chromecast, Apple TV, PC, Laptop, Xbox, HDTV, DVD",[],[],"['Electronics', 'Television & Video', 'Accessories', 'Video Converters']","{'Package Dimensions': '6 x 4.7 x 1.9 inches', 'Item Weight': '7.2 ounces', 'Manufacturer': 'Xmerry', 'Date First Available': 'November 10, 2019', 'Compatible Devices': 'PC', 'Connector Type': 'RCA, HDMI', 'Brand': 'Xmerry', 'Item Package Quantity': '1', 'Unit Count': '1.0 Count'}",B07WLN2CXT
Home Audio & Theater,Pro-Ject: Connect It Tonearm Cable - 5 Pin DIN To RCA (CC 5P) - 1.23m,"['5-pole tonarm socket to RCA + ground wire, length: 1.23m / 48.4""']","[""Custom cables from Pro-ject, optimized for use with turntables. The Connect It tonearm cable features highly flexible build with low capacitance and perfect shield to provide a clean connection with low coloration to the sound. Constructed of state of the art parts and components. 5-pole standard tonearm socket ending in RCA's with ground wire attached.""]","['Electronics', 'Television & Video', 'Accessories', 'Cables', 'RCA']","{'Brand': 'Pro-Ject', 'Connector Type': 'RCA', 'Cable Type': 'Composite', 'Compatible Devices': 'Turntable', 'Connector Gender': 'Male-to-Male', 'Unit Count': '1 Count', 'Package Dimensions': '4.3 x 4.3 x 1.6 inches', 'Item Weight': '4.9 ounces', 'Manufacturer': 'Pro-Ject', 'Item model number': '844682005959', 'Best Sellers Rank': {'Electronics': 507649, 'RCA Cables': 5939}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'April 13, 2016'}",B01E7IQ6V2
Computers,"Swivel USB Flash Memory Bulk Thumb Drives for Students (2GB, Blue,1pack)","['Super Value Package Deal: Includes 1pcs of Genuine 2GB USB Flash Drive, packed in a Eco-friendly package', 'Plug and use: No need to install any software, just simple plug into the USB port of computer or other devices and use it! The USB Flash Drive is compitable with Windows 98second edition/NT/ME/2000/XP/7/8.1/10 and above, it also compatible with Linux and Mac OS 10.3 and above', 'Interface: USB2.0, backwards USB1.1. Fast Data transmission speed, suitable for storing digital data for school, business or daily usage. The digital data includes music, video, photos, movies, manuals, softwares,etc', 'TWIST TURN & DURABLE BUILT: 360° rotating aluminum cover, protecting the usb port; with eyelet hole on the end for easy attaching', 'More bulk orders pls kindly feel free to contact us ,do ODM &OEM for customers']","['For Children 2GB USB 2.0 flash drives with MOS(Metal Oxide Semiconductor) technology and rubber oil finish to give durability and reliability to the pen drive. CHIP - Grade A, original brand flash memory chip INTERFACE - USB 2.0 Compatible (Backwards compatible to USB 1.1) SPEED - Write Speed:4MB/S-5MB/S; Read Speed:14MB/S-15MB/S OPERATING TEMPERATURES - 32º F to 140º F (0º C to 60º C) STORAGE TEMPERETURES - -4º F to 185º F (-20º C to 85º C) DURABILITY - 50,000 times read and write DIMENTIONS - L/B/H - 2.08*0.71*0.32inch']","['Electronics', 'Computers & Accessories', 'Data Storage', 'USB Flash Drives']","{'Brand': 'Tianning', 'Hardware Platform': 'Mac', 'Item Weight': '0.48 ounces', 'Product Dimensions': '2.32 x 0.75 x 0.43 inches', 'Item Dimensions  LxWxH': '2.32 x 0.75 x 0.43 inches', 'Color': 'Blue', 'Manufacturer': 'Tianning', 'Date First Available': 'October 9, 2019', 'Best Sellers Rank': {'USB Flash Drives': 7220}, 'Memory Storage Capacity': '2 GB', 'Hardware Interface': 'USB 2.0, USB 1.1', 'Write Speed': '6x Megabytes Per Second', 'Read Speed': '16 Megabytes Per Second'}",B07YX4WG1Y
Car Electronics,"Infinity Reference 1300a 300-Watt, High-Performance Mono Subwoofer Amplifier (Silver/Black)","['300-Watt mono Class D subwoofer amplifier with on-board electronic crossover and variable bass boost circuit', '12dB per octave electronic crossover allows you to optimize bass performance based on enclosure type and subwoofer', 'Full-range preamp outputs facilitate use of multiple amplifiers without the need for adapters or signal splitters', 'One-year warranty']","['Product description', '300-Watt mono subwoofer amplifier with on-board electronic crossover and variable bass boost circuit.\xa0? The Reference 1300a features a 12dB per octave electronic crossover, allowing you to optimize bass performance based on enclosure type and subwoofer selection.\xa0? Full-range preamp outputs faciliate use of multiple amplifiers without the need for noisy and expensive adapters or signal splitters.\xa0? Remote level bass control included\xa0? Port for future expansion products provided.', 'Amazon.com', 'The Infinity 1300a is a 300-Watt mono subwoofer amplifier with on-board electronic crossover and variable bass boost circuit.', 'Infinity Reference Series Amplifiers', 'Looking for a more moving audio experience? Take Infinity car audio for a ride. Innovative materials and breakthrough engineering have always put Infinity products out in front of the competition. So expect extreme output from Reference Series amps, but be prepared for accuracy and detail that may surprise you. There is no better way to make your car audio system stand up and deliver than by powering your speakers and subs with Infinity electronics.', 'All the right features to get the job done.', 'Click to enlarge.', 'Infinity 1300a Features', 'Class D Subwoofer Amps', ""Efficiency is the benefit of the Infinity Reference Series Class D subwoofer amplifiers. A higher percentage of the power the amp extracts from the car's charging system is converted into output to the speakers, and less is wasted as heat. That is really important if you're trying to provide power to a 1000-watt amplifier. Class D technology turns the analog input signal into a series of pulses that can be amplified more efficiently by transistors used as switches, rather than valves. They're either on and operating at their most efficient level, or they're off. The pulses are converted back into an analog signal by an output filter."", 'CEA-2006-Compliant', ""All Infinity amplifiers are tested in accordance with CEA-2006, which provides a testing procedure to help customers compare amplifiers accurately--apples to apples. Specs are based on industry-accepted standards, rather than on the whims of amplifier companies' marketing departments. Look for the CEA-2006 logo when comparing amplifiers, to be sure you're getting the power you're paying for."", 'Audiophile-Quality Full-Range Amplifiers', 'Class AB full-range amplifiers offer audiophile quality performance and the best compromise between efficiency, low distortion, maximum available headroom and output power.', ""Amps That Don't Break"", ""Infinity amplifiers are tested according to the strictest and most demanding reliability-testing regimen ever designed for car audio amplifiers. They are shaken, baked, frozen, dropped and shocked--all while they're operating. When they've passed all these tests, they are tested again. The result is a series of amplifiers that just don't break."", 'DBO Bass-Optimization Circuit', 'provides superior control and adjustability, compared to traditional bass-boost. DBO is a 2nd order high-pass filter that can be adjusted between 20Hz and 80Hz. The boost (or Q) adjustment boosts the signal above the highpass filter frequency. Used with a sealed box, it can help to increase output for more ""fun"" if it\'s set to about 45Hz. If it\'s used with a vented box, it should be set at or slightly below the tuned frequency of the box. That will prevent woofer unloading, and provide more output at the frequency where the box is tuned and the woofer\'s excursion is minimized--where it can handle more power.', 'Onboard Electronic Crossovers', 'Reference Series amplifiers include 2nd order (12dB/octave) slopes and are continuously variable from 32Hz to 200Hz.', 'Variable Bass-Boost', 'Provides up to 12dB of boost at 50Hz in the Reference Series full-range amplifiers.', 'Direct-Connect Terminals', 'Eliminate the need for additional solder-on or crimp-on terminals and provide an easy and reliable connection for power, ground and speaker wires.', 'Full-Range Preamp Outputs', 'Eliminates the need for signal splitters.', 'Infinity 1300a Specifications', 'Power Output:', '200 watts RMS x 1 channel at 4 ohms and less than or equal to 1% THD + N', 'Signal-to-Noise Ratio:', '85dBA (reference 1 watt into 4 ohms)', 'Dynamic Power:', '342 watts at 2 ohms', 'Effective Damping Factor:', '6.3 at 4 ohms', 'Frequency Response (-3dB):', '11Hz to 330Hz (-3dB)', 'Maximum Input Signal:', '6V', 'Maximum Sensitivity:', '100mV', 'Dimensions (L x W x H):', '14-3/16 x 9 x 2-11/16 inches (360 x 229 x 68 mm)', 'About Infinity', 'Infinity was founded in 1968 on a unique blend of technology, performance, and design. Today, Infinity offers three tiers of automotive speakers comparable to the best home-audio components. Infinity Kappa Perfect, Kappa, and Reference Series speakers deliver performance that rivals the best the competition has to offer.', ""What's in the Box"", ""Infinity Reference 1300a mono subwoofer amplifier (silver/black), mounting hardware, fuses, and user's manual."", 'Infinity Amplifier Options', ""Infinity has approached the amplifier category with the objective of delivering maximum CEA-rated power with all the right features to get the job done. Infinity's Reference amps simply deliver."", 'Infinity Reference 1300a Mono Subwoofer Amplifier', 'Infinity Reference 1600a Mono Subwoofer Amplifier', 'Infinity Reference 5350a 5-Channel Amplifier', 'Infinity Reference 475a 4-Channel Full-Range Amplifier']","['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Audio', 'Amplifiers']","{'Product Dimensions': '2.69 x 9 x 14.19 inches', 'Item Weight': '10 pounds', 'Item model number': 'REF1300A', 'Is Discontinued By Manufacturer': 'No', 'Other display features': 'Wireless', 'Color': 'Silver/Black', 'Manufacturer': 'Harman Kardon', 'Date First Available': 'June 11, 2007', 'Item Dimensions LxWxH': '2.69 x 9 x 14.19 inches', 'Brand': 'Infinity', 'Number of Channels': '5'}",B000RNS2UA
All Electronics,"Baccus Global Llc - V1 Rechargeable Spotlight - Camo Pattern ""Product Category: Outdoors/Feeders, Scouting Cameras And Other Hunting Gear""",[],[],[],"{'Item Weight': '3.2 pounds', 'Item model number': 'MSS1119533Y02', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'May 4, 2016'}",B00R4XMEFU
Sports & Outdoors,GT Graphics Poppies Watercolor - Vinyl Sticker Waterproof Decal,"['Size: 8""', 'American Made Product', 'Waterproof Outdoor Fade Resistant Vinyl', 'Ships in GT Graphics Branded Packaging. Includes Bonus 2"" American Flag Heart Sticker With Every Order.', 'Great for Cars, Laptops, I-Pads, Lockers, etc!']",['Full color vinyl sticker. Durable 5 year outdoor life quality guarantee. Applies to any dry clean surface. Simple peel and stick application.'],"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Skins & Decals']","{'Brand': 'GT Graphics', 'Material': 'Vinyl', 'Theme': 'Love', 'Special Feature': 'Waterproof', 'Age Range (Description)': 'kid', 'Installation Type': 'Self-Adhesive', 'Reusability': 'Single Use', 'Shape': 'Irregular', 'Unit Count': '1.0 Count', 'Team Name': 'mit', 'Date First Available': 'June 2, 2017', 'Manufacturer': 'GT Graphics'}",B072JNFG8P
Computers,65W 45W UL Listed Charger for Dell-Inspiron 15-3000 15-5000 15-7000 11-3000 13-5000 13-7000 17-5000 XPS 13 Series 5559 5558 5755 5758 Extra Long AC Adapter Laptop Power Supply Cord,"['FEATURES / POWER SPECS : Only Pwr+ Chargers Have Extra Long 12 Ft Power AC/DC cords / Output: 19.5V 3.33-3.34A 65W 45W / Input Volt Range: 100-240V / Made in Taiwan', 'COMPATIBILITY: 00285K 332-1833 3RG0T DA45NM131 DA45NM140 DA65NM111-00 DA90PE1-00 FA90PE1-00 HA45NM140 HA65NS5-00 HA65NM130 HK45NM140 HK65NM130 LA45NM131 LA45NM140 LA65NM130 LA65NS2-01 LA90PM111 M600 PA-10 PA-12 PA-1650-02D4 PA-1900-02D PA-1900-04 PA-3E RWHHR 070VTC 0KXTTW 332-1831 492-BBKH CC0DT CDF57 D0KFY HA65NS2-00 HH44H JHJX0 LA90PM130 LA90PS0-00 X9RG3 0JNKWD 0G4X7T 0G6J41; Dell Inspiron 11 13 14 15 17 15R 17R 11-3000 13-5000 13-7000 14-3000 15-3000 15-5000 15-7000 17-5000 17-7000', 'Dell XPS; Chromebook 11 3120 3180 3189; Inspiron 1440 1501 1525 1545 1750 3153 3162 3520 3521 3531 3552 3558 3567 5378 5520 5547 5555 5558 5559 5567 5755 5759 7352 7353 7359 7368 7373 7378 7579 E1505 N4010 N4110 N5010 N5050 N5110 N7010 N7110 1420 1520 1521 1564 1720 1764 3135 3147 3168 3452 3537 3542 3551 3565 3721 5323 5368 5379 5521 5537 5551 5565 5568 5720 5721 5737 5758 6000 6400 7348 7520 7537 7558 7568 7569 7573 7720 7778 8600 9300 3185 5570 7370 7375 E1705 M5010 M5030 M731R N5030 N5040', 'SAFETY / UL LISTED: Tested, Approved and Certified by UL. UL number is unique. UL testing is authorized by OSHA - US Federal Agency', 'WARRANTY: 30 Days Refund - 24 Months Exchange. PWR+ is WA, USA based company. We are friendly Customer Support Experts']",[],"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Chargers & Adapters']","{'Brand': 'PWR+', 'Item model number': 'PWR-TAJ195333', 'Item Weight': '15.2 ounces', 'Package Dimensions': '8.15 x 4.49 x 3.74 inches', 'Power Source': 'Corded Electric', 'Voltage': '19.5 Volts', 'Manufacturer': 'PWR+', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'July 25, 2016', 'Best Sellers Rank': {'Computers & Accessories': 16527, 'Laptop Chargers & Adapters': 2625}, 'Connector Type': 'barrel connector', 'Compatible Devices': 'Laptops', 'Input Voltage': '240 Volts', 'Mounting Type': 'Wall Mount', 'Amperage': '3.33 Amps', 'Wattage': '65 watts', 'Specification Met': 'UL', 'Output Voltage': '19.5 Volts'}",B003M5Z90Q
Computers,Klipsch ProMedia 2.1 THX Certified Computer Speaker System (Black) (Renewed),"['THX-certified, three-piece computer audio system', 'Exclusive Klipsch MicroTractrix Horn maximizes digital technologies such as CDs, MP3 downloads, and streaming radio programs', '200-watt digital hybrid amplifier driven ProMedia 21 incorporates a convenient headphone jack as well as a miniplug input', 'Compatible with laptop, smartphone, tablet and other devices via a headphone Jack and mini plug input', '31 Hz to 20 kHz frequency response range']",['31 Hz to 20 kHz frequency response range'],"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Audio & Video Accessories', 'Computer Speakers']","{'RAM': '8 GB', 'Brand': 'Klipsch', 'Series': 'ProMedia', 'Item Weight': '18.96 pounds', 'Product Dimensions': '0.42 x 0.85 x 0.57 inches', 'Item Dimensions  LxWxH': '0.42 x 0.85 x 0.57 inches', 'Color': 'Black', 'Power Source': 'Corded Electric', 'Voltage': '120 Volts', 'Manufacturer': 'Klipsch', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'January 16, 2019', 'Best Sellers Rank': {'Amazon Renewed': 10357, 'Computer Speakers': 466}, 'Speaker Type': 'Multimedia', 'Connectivity Technology': 'Wired', 'Mounting Type': 'Plug Mount'}",B07MVNDJYW
Computers,"Dell Latitude Silicone Keyboard Cover for Dell Latitude E7450 E7470 E5470 E7480 5480 5490 5491 7490, Dell 3340 E3340 Laptop Keyboard Protective Skin Keyboard Protector, Gradual Blue (with Pointing)","['COMPATIBILITY: The keyboard cover perfectly fit for Dell Latitude E7450 E7470 E5470 E7480 5480 5490 7490 3340 E3340 Laptop with Trackpoint Laptop (US Layout).', 'HIGH-GRADE Silicone MATERIAL: Made with premium soft-touch silicone material, soft and flexible, healthy and environment friendly.', 'ULTRATHIN & SLIM: Ultra thin 0.13mm thickness to minimize typing interference, smooth and elastic silicone material gives you a pleasant typing experience.', 'FULL PROTECTION FOR KEYBOARD: High precision and one step shaping, each key & symbol are individually molded and specially printed on silicone for a long lasting professional look, perfectly fit for each keys with all-around protection.', 'WATER-RESISTANT & DURABLE: Waterproof, dustproof, protects your laptop against spills, dust, and other contaminants, wearproof, good permeability, easy to wash and reuse.']",[],"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Keyboards, Mice & Accessories', 'Keyboard & Mice Accessories', 'Keyboard Skins']","{'Brand': 'ImComor', 'Item Weight': '3.2 ounces', 'Product Dimensions': '11 x 4.5 x 0.05 inches', 'Item Dimensions  LxWxH': '11 x 4.5 x 0.05 inches', 'Color': 'Ombre Blue', 'Manufacturer': 'imComor', 'Date First Available': 'July 2, 2019', 'Best Sellers Rank': {'Computer Keyboard Skins': 1231}, 'Compatible Devices': 'Dell Latitude E7450 E7470 E5470 E7480 E5450 5480 5490 7490 Laptop', 'Material': 'Silicone', 'Special Feature': 'Waterproof, Reusable, Water Resistant'}",B088FSDX6B
AMAZON FASHION,School Backpack Bookbag with USB Charging Port for College Travel Hiking Fit Laptop Up to 15.6 Inch,"['Nylon lining', 'Zipper closure', '20"" shoulder drop', 'DURABLE : The PROETRADE Backpack / Daypack is made of HIGH-QUALITY Anti Scratch Fabric with durable zipper design, it’s very sturdy, tear resistant. Which can effectively prevent your belongings from the dust, and dirt. Durable buckle and strength zipper make it even more durable and long lasting.', 'LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT : CAPACIOUS, the backpack Dimension : 20""H x 12.5""W x 8.5""D. Lightweight : 1.8lb, Total 9 pockets, 2 main compartment, 1 laptop pocket, 2 front zipped pocket, 2 pockets outside for holding small accessories and water bottles or umbrellas, 1 inner pockets for keys, pen or small accessories, 1 anti theft pocket for protect your belongings, the multi compartments keep your things organized. It can easy hold your clothing, books, ipad, water bottl', 'USB CHARGING PORT & ANTI THEFT & NIGHT LIGHT REFLECTIVE : External USB CHARGING PORT with built-in charging cable ,provides a convenient charging of your electronic device anywhere, ANTI THEFT back pocket with zipper design will keep your valuable belongings such us credit cards or purse safe, NIGHT LIGHT REFLECTIVE design on the front of the backpack will keep all the users safe when use the backpack in the night or dark area.', 'BACK LUGGAGE SLEEVE & CHEST STRAPS & AIR FLOW SYSTEM : BACK LUGGAGE SLEEVE Design allows your backpack fit on luggage or suitcase for easier transport, Adjustable CHEST STRAPS with buckle design will Keep the shoulder straps securely in place, AIR FLOW SYSTEM, S-Curved Shoulder Straps with breathable mesh and back panel with multi layer sponge padding could protect your backbone and ease the bear load, help relieve the stress from your shoulder, breathable materials will keep you comfortable.', 'SUITABLE FOR MANY OCCASIONS – Stylish, Fashion and Classic Design, Suitable for all school bookbag, book bags, student backpack, computer backpack, office backpack, notebook backpack, high school backpack, middle school backpack, usb backpack, laptop backpack, hiking backpack, camping backpack, business backpack, casual backpack, climbing backpack, traveling backpack, cycling backpack or outdoor activities backpack.']",[],"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Bags, Cases & Sleeves', 'Backpacks']","{'Package Dimensions': '17.99 x 12.99 x 2.2 inches; 1.6 Pounds', 'Department': 'unisex-adult', 'Date First Available': 'March 7, 2019', 'Manufacturer': 'ProEtrade'}",B07PG5ZD9H
Cell Phones & Accessories,"MYGOFLIGHT iPad Pro 11” (Gen 1, 2, 3) Air 10.9"" (Gen 4, 5) Polycarbonate Pilot Kneeboard and Mountable Everyday Case – Compatible with MGF Yoke and Suction Cup Sport Mounts and Sport Adapters","['VERSATILE – iPad Pro 11” (Gen 1, 2, 3) case can be used as a pilot’s kneeboard, mounted on a variety of MGF cockpit, windshield, window, or yoke mounts, and used as an everyday tablet case. This is especially useful for pilots flying multiple aircraft, or drivers and truckers driving multiple vehicles. This one case eliminates the need for multiple cradles and cases for your device. Easily take your iPad from air to office to home. Compatible with Apple Pencil.', 'KNEEBOARD – The included removable wide Velcro knee strap and two aluminum rails on the underside of the case allows the case to be held securely and comfortably to your leg providing a stable mount and one-handed operation. Once the strap is removed, the kneeboard becomes a sleek iPad case for everyday use. Four rubber pads on the rails allow the case to sit securely on a desk or table.', 'GEN 3 SPORT MOUNT COMPATIBLE – The round male connector on the backside of the case quickly, easily, and securely joins with the Gen 3 adapter end on MGF Yoke and Suction Cup Sport Mounts. The connection allows 360° rotation of the device and quick and easy removal: just press both green buttons on the mount at the same time and pull. That also allows the mount to remain installed in place. Mounts are sold separately.', ""COCKPIT READY AND EASILY ADJUSTABLE - When paired with one of MGF’s Sport Mounts, or securely strapped to your knee, the iPad is viewable and operable with one hand during critical phases of flight per FAA requirements. When mount-installed, the connection between the two allows the tablet to rotate between landscape and portrait positions. The cut-out design provides full and easy access to all of the device's ports, buttons, and controls."", 'ONE YEAR WARRANTY against defects in materials and workmanship for all products purchased from, and manufactured by, MYGOFLIGHT. If this product is found to be defective, you may request an exchange for replacement, a repair, or replacement parts within one year of the invoice date.']",[],"['Electronics', 'Car & Vehicle Electronics', 'Aviation Electronics', 'Aircraft Accessories']","{'Package Dimensions': '10.47 x 7.17 x 1.18 inches', 'Item Weight': '11.4 ounces', 'Item model number': 'KNE-1255', 'Special features': 'Screen Protector', 'Form Factor': 'Case', 'Manufacturer': 'MYGOFLIGHT', 'Date First Available': 'November 8, 2019', 'Brand': 'MYGOFLIGHT', 'Compatible Devices': 'Tablets', 'Material': 'Aluminum, Rubber, Polycarbonate', 'Special Feature': 'Screen Protector'}",B09SJ465G2
All Electronics,"BridgeCom BCS-200 Shoulder Speaker Mic K-1 Plug IP-54 Rated for DMR and Analog AnyTone, Kenwood, Woxun Amateur Ham Business Portable Two Way Radio","['Speaker mic with Crystal clear audio for DMR and analog 2-way radios, no crackling or popping', 'Sturdy and solid mic, Reinforced cable with solid 8 position spring clip, ""Kenwood 2-Pin Accessory connector"" Radios (AnyTone, and others)', 'Easily attach headphones or earbuds to this speaker mic with its sealed 3.5mm headphone jack', 'IP-54 Rated Dust, wind, water, and shock resistant. Sturdy construction and feel. Small and light. Perfect addition to your Analog or DMR 2 way radio.', 'Compatible with all AnyTone, BTECH, Wouxun, TYT, and Kenwood Radios']",[],"['Electronics', 'Portable Audio & Video', 'MP3 & MP4 Player Accessories']","{'Product Dimensions': '8.5 x 6 x 1.5 inches', 'Item Weight': '4.2 ounces', 'Item model number': 'BCS 200', 'Best Sellers Rank': {'MP3 & MP4 Player Accessories': 7992}, 'Date First Available': 'September 7, 2016', 'Manufacturer': 'BridgeCom Systems', 'Brand': 'BridgeCom Systems', 'Connectivity Technology': 'Auxiliary', 'Connector Type': '3.5 mm Jack', 'Special Feature': 'Clip', 'Color': 'Black', 'Included Components': 'Warranty card', 'Polar Pattern': 'Unidirectional', 'Item Dimensions LxWxH': '8.5 x 6 x 1.5 inches', 'Power Source': 'Corded Electric', 'Number of Channels': '1'}",B01LR1ZVNG
,"DIVEROID Waterproof Phone Case – Easy to Use Underwater Camera, Diving Computer, All-in-One Diving Gear, Universal Size","['The DIVEROID includes the Mini, a small dive computer waterproof phone case up to 200ft. It will help you to prevent accidents by measuring depth and dive duration. The only existing dive computer with an all-in-one solution with no water leakage', 'Featuring four camera modes; zoom, wide, ultra wide angle, and selfie with various angles. With these four waterproof camera modes, it can be used as an underwater fishing camera with Double O-rings that prevent water leakage', 'It has a synced logbook of your photos with depth information, so you can easily go back and view your photos with the times and depths at which they were taken. You can also share your logbook easily on social media or through a text message', 'It supports free diving mode with features including depth alarm, stopwatch for static apnea, and even convenient boat calling straight from the app. These are great safety features that enhance free diving with one size fits for everyone', 'The DIVEROID app is designed to work without a phone signal, and airplane mode while diving is suggested. The app shows all the necessary information you need and you can quickly see the dive time, depth, temperature, and ascending time all at a glance']",[],"['Electronics', 'Camera & Photo', 'Underwater Photography', 'Housings']","{'Item Package Dimensions L x W x H': '13.43 x 7.17 x 2.72 inches', 'Package Weight': '1.15 Kilograms', 'Brand Name': 'DIVEROID', 'Color': 'White', 'Manufacturer': 'Artisan&Ocean co., ltd.', 'Part Number': '193542000017', 'Best Sellers Rank': {'Underwater Photography Housings': 638}, 'Date First Available': 'September 5, 2020', 'Brand': 'DIVEROID', 'Water Resistance Level': 'Waterproof'}",B08H7DB3CD
Home Audio & Theater,"Decibullz - Custom Molded Earphone Adapters (100-RED, Red)","['Easily and quickly molded to the exact shape of your ears', 'Re-moldable: reshape until you get the perfect fit', 'Secure fit and unsurpassed comfort']","[""Easily and quickly molded to the exact shape of your ears, Decibullz custom earphone adapters create a perfect fit that will never hurt and never fall out. Shaping the Decibullz thermoplastic molds is easy! Simply heat the molds in hot water, snap them onto your earphones, and shape them to your ears. When done you will have a perfect fitting earphone made just for you! Decibullz are also re-moldable so you can keep molding them until you get the exact fit you are looking for. Decibullz were created so you can take your music with you no matter what you're doing. Whether it's running, working out, or relaxing at the cafe Decibullz allow you to listen to what you love while doing what you love. Compatibility: The Decibullz Adapters are only compatible with standard earphones that use silicone tips and have a straight nozzle. If your earphones are not listed they have not been tested and may or may not be compatible. BZ100 Compatibility The following earphones have been tested and will fit the BZ100 adapters. -Jaybird Blue buds X -Jaybird Freedom Sprint -Plantronics Backbeat GO 2 -Sony: HBH-IS800 -Skull candy Smoking' Buds -Skull candy Titan -LG Tone Pro HBS-750 -LG Tone Ultra HBS-800 -Samsung Galaxy S4 Earphones -Samsung Galaxy S5 Earphones BZ200 Compatibility The following earphones have been tested and will fit the BZ200 adapters. -Soul Republic JAX -Soul Republic AMPS -Beats by Drew Ur Beats, -Beats by Drew Tour -Ear pollution Plugs -Ear pollution Crew -JVC: Marshmallow The following earphone brands are not compatible with Decibullz adapters: Shure, Kirsch, Bose and Apple. Note: While the Decibullz Molded Earphone Adapters will improve the comfort and fit of your earphones they may not improve sound isolation and may change sound quality. If you are looking for improved sound quality and the best noise isolation check out the Decibullz Contour Custom Molded Earphones.""]","['Electronics', 'Headphones, Earbuds & Accessories', 'Headphones & Earbuds']","{'Product Dimensions': '4.25 x 0.75 x 2.75 inches', 'Item Weight': '0.03 Pounds', 'Manufacturer': 'Decibullz LLC', 'Item model number': '100-RED', 'Date First Available': 'March 24, 2013', 'Brand': 'Decibullz', 'Model Name': 'HBS-750', 'Color': 'Red', 'Form Factor': 'In Ear', 'Wireless Communication Technology': 'Bluetooth'}",B00L1S5HGW
